marque;modele;generation;annee_debut;annee_fin;puissance_ch;masse_kg;ratio_kg_ch;classe;carrosserie;motorisation;statut;motif_exclusion;revision
Toyota;GR Supra;A90 3.0;2019;;340;1520;4,47;II;fermee;thermique;actif;;2026
Toyota;GR Yaris;XP210;2020;;261;1280;4,90;II;fermee;thermique;actif;;2026
Volkswagen;Golf;VII R;2013;2020;310;1476;4,76;II;fermee;thermique;actif;;2026
Volkswagen;Golf;VIII GTI Clubsport;2020;;300;1462;4,87;II;fermee;thermique;actif;;2026
Volkswagen;Golf;VIII R;2020;;320;1551;4,85;II;fermee;thermique;actif;;2026
Alfa Romeo;Giulia;Quadrifoglio;2016;;510;1620;3,18;III;fermee;thermique;actif;;2026
Aston Martin;Vantage;V8 2018;2018;;510;1630;3,20;III;fermee;thermique;actif;;2026
Audi;R8;4S V10;2015;;570;1660;2,91;III;fermee;thermique;actif;;2026
Audi;RS6;C8 Avant;2019;;600;2075;3,46;III;fermee;thermique;actif;;2026
BMW;M3;G80;2021;;510;1730;3,39;III;fermee;thermique;actif;;2026
BMW;M5;F10;2011;2016;560;1870;3,34;III;fermee;thermique;actif;;2026
Caterham;Seven;420;2017;;210;560;2,67;III;decouvrable;thermique;actif;;2026
Chevrolet;Corvette;C7 Stingray;2014;2019;466;1560;3,35;III;fermee;thermique;actif;;2026
Ferrari;296;GTB;2022;;830;1470;1,77;III;fermee;hybride;actif;;2026
Ferrari;458;Italia;2009;2015;570;1485;2,61;III;fermee;thermique;actif;;2026
Ferrari;488;GTB;2015;2019;670;1475;2,20;III;fermee;thermique;actif;;2026
Ferrari;F8;Tributo;2019;2023;720;1435;1,99;III;fermee;thermique;actif;;2026
Jaguar;F-Type;R Coupe;2014;;550;1730;3,15;III;fermee;thermique;actif;;2026
Lamborghini;Gallardo;LP560-4;2008;2013;560;1430;2,55;III;fermee;thermique;actif;;2026
Lamborghini;Huracan;LP610-4;2014;;610;1422;2,33;III;fermee;thermique;actif;;2026
Lotus;Exige;S V6;2012;2021;350;1176;3,36;III;fermee;thermique;actif;;2026
McLaren;570S;P13;2015;2021;570;1440;2,53;III;fermee;thermique;actif;;2026
McLaren;720S;P14;2017;2023;720;1419;1,97;III;fermee;thermique;actif;;2026
Mercedes-AMG;C63 S;W205;2015;2021;510;1745;3,42;III;fermee;thermique;actif;;2026
Mercedes-AMG;GT;C190;2015;2021;476;1615;3,39;III;fermee;thermique;actif;;2026
Nissan;GT-R;R35;2008;;570;1752;3,07;III;fermee;thermique;actif;;2026
Porsche;911;997 GT3;2006;2011;415;1395;3,36;III;fermee;thermique;actif;;2026
Porsche;911;991 Carrera S;2011;2019;420;1440;3,43;III;fermee;thermique;actif;;2026
Porsche;911;991 GT3;2013;2019;500;1430;2,86;III;fermee;thermique;actif;;2026
Porsche;911;992 GT3;2021;;510;1418;2,78;III;fermee;thermique;actif;;2026
Porsche;911;992 Turbo;2020;;580;1640;2,83;III;fermee;thermique;actif;;2026
Porsche;Cayman;718 GT4;2019;;420;1420;3,38;III;fermee;thermique;actif;;2026
Porsche;Taycan;Turbo S J1;2020;;761;2320;3,05;III;fermee;electrique;actif;;2026
Tesla;Model S;Plaid;2021;;1020;2190;2,15;III;fermee;electrique;actif;;2026
